# loss | a0 ... a3
3.345920e+03	-8.524864e-01	-5.226478e-01	8.394948e+00	3.432053e+00
2.189493e+03	-9.103645e-01	-5.805260e-01	8.452826e+00	3.489932e+00
1.572907e+03	-9.356136e-01	-6.277014e-01	8.488845e+00	3.432142e+00
1.057762e+03	-9.772138e-01	-6.747997e-01	8.550747e+00	3.378829e+00
9.530963e+02	-9.854737e-01	-6.876367e-01	8.559434e+00	3.372400e+00
7.454924e+02	-1.014749e+00	-7.131305e-01	8.600322e+00	3.364274e+00
6.373568e+02	-1.021456e+00	-7.320819e-01	8.618987e+00	3.327350e+00
6.086883e+02	-1.026919e+00	-7.364691e-01	8.630531e+00	3.327285e+00
4.486391e+02	-1.048587e+00	-7.692144e-01	8.671677e+00	3.284246e+00
3.571092e+02	-1.061025e+00	-7.939827e-01	8.705928e+00	3.246763e+00
3.374201e+02	-1.068031e+00	-7.989936e-01	8.719747e+00	3.244819e+00
2.883332e+02	-1.078021e+00	-8.155327e-01	8.751392e+00	3.214036e+00
2.724672e+02	-1.082506e+00	-8.216907e-01	8.761618e+00	3.211608e+00
2.530907e+02	-1.082887e+00	-8.308302e-01	8.774682e+00	3.186539e+00
2.299762e+02	-1.093626e+00	-8.402127e-01	8.799785e+00	3.180656e+00
2.066298e+02	-1.102113e+00	-8.535213e-01	8.824902e+00	3.161188e+00
2.057178e+02	-1.101092e+00	-8.539416e-01	8.834163e+00	3.155953e+00
2.024400e+02	-1.101839e+00	-8.557423e-01	8.849869e+00	3.150204e+00
1.918056e+02	-1.106401e+00	-8.642743e-01	8.866168e+00	3.134533e+00
1.848285e+02	-1.109383e+00	-8.712694e-01	8.882410e+00	3.121083e+00
1.826958e+02	-1.109828e+00	-8.727961e-01	8.896896e+00	3.113342e+00
1.778658e+02	-1.111676e+00	-8.777072e-01	8.918407e+00	3.095440e+00
1.770827e+02	-1.111638e+00	-8.784380e-01	8.926459e+00	3.094197e+00
1.740624e+02	-1.111300e+00	-8.836103e-01	8.937181e+00	3.082198e+00
1.754423e+02	-1.110998e+00	-8.786768e-01	8.955275e+00	3.077430e+00
1.722528e+02	-1.116233e+00	-8.829403e-01	8.979507e+00	3.069659e+00
1.751813e+02	-1.109909e+00	-8.765395e-01	8.984810e+00	3.062309e+00
1.754677e+02	-1.110796e+00	-8.744042e-01	9.004473e+00	3.054092e+00
1.725386e+02	-1.110455e+00	-8.782412e-01	9.015398e+00	3.042394e+00
1.728720e+02	-1.107113e+00	-8.777935e-01	9.016534e+00	3.039642e+00
1.699637e+02	-1.110310e+00	-8.803327e-01	9.045904e+00	3.023005e+00
1.741269e+02	-1.108499e+00	-8.721791e-01	9.061840e+00	3.020443e+00
1.684825e+02	-1.110378e+00	-8.799318e-01	9.078018e+00	3.000474e+00
1.660520e+02	-1.113799e+00	-8.848114e-01	9.096946e+00	2.996439e+00
1.693234e+02	-1.107522e+00	-8.756084e-01	9.108082e+00	2.983188e+00
1.678777e+02	-1.104710e+00	-8.777412e-01	9.113277e+00	2.973375e+00
1.662803e+02	-1.106904e+00	-8.782279e-01	9.140089e+00	2.960408e+00
1.663581e+02	-1.108474e+00	-8.762780e-01	9.159949e+00	2.953574e+00
1.640315e+02	-1.105866e+00	-8.797558e-01	9.171994e+00	2.938356e+00
1.647318e+02	-1.102673e+00	-8.777031e-01	9.178515e+00	2.932649e+00
1.621250e+02	-1.104572e+00	-8.807570e-01	9.203207e+00	2.915546e+00
1.665493e+02	-1.098606e+00	-8.718259e-01	9.216645e+00	2.902484e+00
1.592740e+02	-1.102353e+00	-8.848577e-01	9.237105e+00	2.890984e+00
1.659143e+02	-1.092663e+00	-8.713307e-01	9.239891e+00	2.888712e+00
1.573672e+02	-1.099641e+00	-8.864464e-01	9.271350e+00	2.866558e+00
1.569697e+02	-1.092827e+00	-8.868964e-01	9.271747e+00	2.857825e+00
1.576992e+02	-1.095593e+00	-8.803734e-01	9.302481e+00	2.846444e+00
1.567271e+02	-1.091525e+00	-8.814499e-01	9.311801e+00	2.831480e+00
1.566548e+02	-1.093046e+00	-8.793561e-01	9.334346e+00	2.822585e+00
1.534758e+02	-1.097973e+00	-8.897192e-01	9.356445e+00	2.809571e+00
1.579947e+02	-1.089447e+00	-8.743407e-01	9.364340e+00	2.801997e+00
1.593083e+02	-1.087535e+00	-8.705601e-01	9.381838e+00	2.791274e+00
1.559655e+02	-1.087459e+00	-8.749956e-01	9.398455e+00	2.773304e+00
1.505167e+02	-1.093688e+00	-8.863159e-01	9.430538e+00	2.748781e+00
1.564510e+02	-1.084030e+00	-8.711437e-01	9.431501e+00	2.745384e+00
1.578280e+02	-1.078222e+00	-8.682500e-01	9.437733e+00	2.733995e+00
1.523680e+02	-1.082952e+00	-8.756932e-01	9.466352e+00	2.713856e+00
