# loss | a0 ... a15
8.428741e+02	6.000000e-01	2.214000e-01	4.100000e-02	7.226000e-01	1.034400e+00	-9.440000e-01	4.825000e-02	7.125000e-02	7.125000e-02	-4.350000e-02	6.500000e-03	-1.974000e-02	1.200000e-04	2.196000e-02	1.396000e+00	-7.560000e-01
7.446822e+02	6.000000e-01	2.430000e-01	4.332000e-02	7.388000e-01	9.824000e-01	-1.130000e+00	-4.250000e-03	5.000000e-03	8.500000e-03	5.525000e-02	1.370000e-02	-2.460000e-03	1.782000e-02	-1.056000e-02	1.448000e+00	2.560000e-01
6.752620e+02	6.000000e-01	3.198000e-01	4.412000e-02	7.002000e-01	1.030800e+00	-1.150000e+00	4.275000e-02	-2.175000e-02	-1.000000e-03	-4.050000e-02	9.100000e-03	-2.775000e-02	4.080000e-03	-1.668000e-02	1.552000e+00	-6.480000e-01
5.730592e+02	6.000000e-01	3.288000e-01	4.820000e-02	7.452000e-01	9.040000e-01	-1.040000e+00	-7.000000e-03	2.475000e-02	1.325000e-02	1.850000e-02	-2.310000e-02	-1.344000e-02	2.304000e-02	8.880000e-03	5.000000e-01	-5.360000e-01
5.374596e+02	6.000000e-01	3.756000e-01	4.158000e-02	6.728000e-01	1.064000e+00	-1.063000e+00	5.750000e-03	2.925000e-02	3.250000e-03	-1.850000e-02	-2.250000e-02	1.086000e-02	2.064000e-02	-1.656000e-02	5.880000e-01	6.440000e-01
8.361466e+02	6.008000e-01	2.292000e-01	4.084000e-02	6.564000e-01	1.074400e+00	-9.230000e-01	-1.625000e-02	-4.650000e-02	-3.225000e-02	2.500000e-03	1.130000e-02	-3.360000e-03	2.520000e-03	-4.800000e-03	1.144000e+00	-1.800000e-01
6.673869e+02	6.008000e-01	2.862000e-01	4.104000e-02	6.618000e-01	1.060800e+00	-9.780000e-01	4.050000e-02	2.175000e-02	-4.150000e-02	-5.000000e-03	-1.210000e-02	1.491000e-02	2.286000e-02	-2.004000e-02	2.960000e-01	9.960000e-01
5.544935e+02	6.008000e-01	3.216000e-01	4.938000e-02	7.272000e-01	1.044800e+00	-1.246000e+00	1.250000e-02	-4.250000e-02	-2.550000e-02	4.825000e-02	1.100000e-02	1.950000e-03	2.844000e-02	-2.304000e-02	2.360000e-01	7.000000e-01
5.630026e+02	6.008000e-01	3.774000e-01	4.852000e-02	7.260000e-01	9.836000e-01	-9.820000e-01	2.000000e-03	1.250000e-03	-4.975000e-02	-1.250000e-02	-1.590000e-02	1.014000e-02	1.050000e-02	-1.200000e-03	9.320000e-01	-7.960000e-01
5.424877e+02	6.008000e-01	4.332000e-01	4.174000e-02	6.616000e-01	9.640000e-01	-7.730000e-01	2.225000e-02	7.250000e-02	7.250000e-02	3.950000e-02	1.670000e-02	-1.425000e-02	1.860000e-03	1.080000e-02	1.864000e+00	-3.160000e-01
9.095495e+02	6.016000e-01	1.890000e-01	4.520000e-02	6.584000e-01	1.091600e+00	-8.490000e-01	-9.500000e-03	-4.625000e-02	1.250000e-03	-3.450000e-02	1.540000e-02	2.310000e-03	2.358000e-02	2.244000e-02	1.268000e+00	5.920000e-01
