# loss | a0 ... a2
2.672741e+02	-7.915745e-01	-9.460993e-01	-2.008264e+00
2.432769e+02	-8.199725e-01	-9.177013e-01	-1.979866e+00
2.281440e+02	-8.417871e-01	-9.366654e-01	-1.949943e+00
2.117333e+02	-8.671114e-01	-9.422328e-01	-1.921810e+00
2.033673e+02	-8.825935e-01	-9.547813e-01	-1.900933e+00
1.956637e+02	-9.001712e-01	-9.666698e-01	-1.881399e+00
1.867639e+02	-9.144301e-01	-9.684508e-01	-1.860339e+00
1.736648e+02	-9.311864e-01	-9.559100e-01	-1.839861e+00
1.679375e+02	-9.425556e-01	-9.622754e-01	-1.820312e+00
1.636347e+02	-9.523826e-01	-9.674013e-01	-1.804737e+00
1.556190e+02	-9.635051e-01	-9.641160e-01	-1.784652e+00
1.440948e+02	-9.749826e-01	-9.488647e-01	-1.764668e+00
1.392294e+02	-9.837297e-01	-9.511994e-01	-1.746739e+00
1.292186e+02	-9.948177e-01	-9.401751e-01	-1.724462e+00
1.259615e+02	-1.000567e+00	-9.427174e-01	-1.709682e+00
