# loss | a0 ... a8
1.471926e+02	2.394286e-01	-9.762857e-01	1.346000e+01	3.098000e+00	3.746667e-01	2.919048e-01	-8.132381e-01	4.045714e-01	9.632571e+00
6.068400e+02	3.618002e-01	-8.539141e-01	1.333763e+01	3.220372e+00	4.970382e-01	4.142763e-01	-6.908665e-01	5.269430e-01	9.510200e+00
1.190677e+02	2.560398e-01	-9.617922e-01	1.343771e+01	3.123307e+00	4.428707e-01	3.122685e-01	-7.942727e-01	4.078949e-01	9.628658e+00
2.043342e+02	2.152673e-01	-1.007623e+00	1.347204e+01	3.092795e+00	4.651638e-01	2.705945e-01	-8.176495e-01	3.525881e-01	9.684946e+00
1.435099e+02	2.269489e-01	-9.957742e-01	1.344830e+01	3.124732e+00	5.391595e-01	3.027587e-01	-9.180941e-01	2.691301e-01	9.705760e+00
1.082100e+02	2.618593e-01	-9.704290e-01	1.340553e+01	3.172487e+00	6.191074e-01	3.409662e-01	-1.023026e+00	3.187175e-01	9.712645e+00
1.180635e+02	2.865599e-01	-9.528244e-01	1.337051e+01	3.217068e+00	6.955804e-01	3.627414e-01	-9.702434e-01	4.258518e-01	9.714792e+00
1.029925e+02	2.927481e-01	-9.748272e-01	1.335747e+01	3.224600e+00	7.415229e-01	3.425344e-01	-9.426281e-01	4.544880e-01	9.771702e+00
9.985091e+01	3.151239e-01	-9.767097e-01	1.332369e+01	3.252964e+00	8.005678e-01	3.418430e-01	-9.290921e-01	4.413234e-01	9.790540e+00
9.684616e+01	3.332051e-01	-9.726574e-01	1.328424e+01	3.290597e+00	8.795766e-01	3.473397e-01	-9.752686e-01	4.369143e-01	9.797509e+00
9.330102e+01	3.456597e-01	-9.826041e-01	1.326233e+01	3.303579e+00	9.178266e-01	3.355150e-01	-9.906081e-01	4.164642e-01	9.823857e+00
1.167323e+02	3.471295e-01	-9.889712e-01	1.324256e+01	3.330251e+00	9.744660e-01	3.343442e-01	-1.072310e+00	3.661591e-01	9.861348e+00
1.871007e+02	3.789438e-01	-9.418484e-01	1.318477e+01	3.409420e+00	1.059348e+00	3.890747e-01	-9.276828e-01	5.190405e-01	9.810578e+00
9.364322e+01	3.542939e-01	-9.841047e-01	1.321618e+01	3.364196e+00	1.037663e+00	3.504870e-01	-8.547287e-01	5.952709e-01	9.866992e+00
9.372377e+01	3.270216e-01	-9.951955e-01	1.322763e+01	3.361835e+00	1.063394e+00	3.436608e-01	-8.166471e-01	6.340523e-01	9.878491e+00
9.287965e+01	3.116893e-01	-9.920379e-01	1.321589e+01	3.383959e+00	1.120314e+00	3.499676e-01	-7.977824e-01	6.534400e-01	9.872136e+00
9.307919e+01	3.149006e-01	-9.941887e-01	1.320322e+01	3.392686e+00	1.149266e+00	3.483499e-01	-7.900104e-01	6.612359e-01	9.879319e+00
9.324959e+01	3.071933e-01	-9.928888e-01	1.318794e+01	3.414886e+00	1.197484e+00	3.512579e-01	-7.893112e-01	6.621563e-01	9.887641e+00
9.340669e+01	3.165112e-01	-9.930036e-01	1.317291e+01	3.419900e+00	1.220459e+00	3.510559e-01	-7.904204e-01	6.609012e-01	9.888054e+00
9.241181e+01	2.954511e-01	-9.947104e-01	1.318677e+01	3.408545e+00	1.230942e+00	3.515582e-01	-7.929116e-01	6.582420e-01	9.876244e+00
9.232699e+01	3.121258e-01	-9.954441e-01	1.316254e+01	3.423863e+00	1.266386e+00	3.492508e-01	-7.967730e-01	6.543224e-01	9.884525e+00
9.669946e+01	3.478501e-01	-9.923218e-01	1.311963e+01	3.446565e+00	1.314518e+00	3.528962e-01	-7.999891e-01	6.511866e-01	9.897669e+00
9.201377e+01	3.114184e-01	-1.003075e+00	1.314704e+01	3.428765e+00	1.315308e+00	3.415149e-01	-8.044743e-01	6.464761e-01	9.900455e+00
9.444302e+01	2.793885e-01	-1.008928e+00	1.316423e+01	3.420729e+00	1.329826e+00	3.352805e-01	-8.089725e-01	6.418043e-01	9.895504e+00
9.605555e+01	2.917873e-01	-9.908740e-01	1.313810e+01	3.453244e+00	1.374578e+00	3.577721e-01	-8.099593e-01	6.405005e-01	9.877300e+00
1.156163e+02	3.224069e-01	-9.807782e-01	1.310011e+01	3.482618e+00	1.418346e+00	3.670201e-01	-8.126836e-01	6.375808e-01	9.868729e+00
9.292994e+01	2.673255e-01	-1.010272e+00	1.315486e+01	3.426057e+00	1.384386e+00	3.393582e-01	-8.157987e-01	6.338937e-01	9.896889e+00
9.851514e+01	2.516028e-01	-1.017162e+00	1.316909e+01	3.407879e+00	1.372780e+00	3.353381e-01	-8.164880e-01	6.328206e-01	9.909468e+00
9.182462e+01	2.692330e-01	-9.994265e-01	1.313366e+01	3.439439e+00	1.422419e+00	3.560437e-01	-8.175900e-01	6.312778e-01	9.890678e+00
9.252770e+01	2.753700e-01	-9.992541e-01	1.312657e+01	3.433476e+00	1.433680e+00	3.583185e-01	-8.186903e-01	6.296751e-01	9.893235e+00
9.347126e+01	2.798233e-01	-9.984181e-01	1.311091e+01	3.443076e+00	1.458028e+00	3.573399e-01	-8.199490e-01	6.280514e-01	9.889074e+00
9.214119e+01	2.481257e-01	-1.012104e+00	1.313974e+01	3.411896e+00	1.435467e+00	3.425863e-01	-8.204373e-01	6.267952e-01	9.888174e+00
9.790126e+01	2.746877e-01	-9.949778e-01	1.309843e+01	3.443802e+00	1.482293e+00	3.636403e-01	-8.198129e-01	6.269253e-01	9.876364e+00
9.335020e+01	2.657871e-01	-1.015827e+00	1.311668e+01	3.401686e+00	1.458935e+00	3.399133e-01	-8.207265e-01	6.251788e-01	9.886626e+00
9.185582e+01	2.818877e-01	-1.003770e+00	1.308386e+01	3.428366e+00	1.496250e+00	3.534731e-01	-8.210820e-01	6.244717e-01	9.880558e+00
